subject,trial_id,condition,onset_s,tr_s,window_start_tr,window_stop_tr,nacc_psc_window_mean,vta_psc_window_mean
sub-06,1,reward,8.0,1.0,5,7,-2.4145731925964355,-0.8593451976776123
sub-06,2,reward,23.0,1.0,5,7,-2.7699038982391357,-1.7054760456085205
sub-06,3,neutral,35.0,1.0,5,7,-3.377685308456421,-1.3286161422729492
sub-06,4,reward,41.0,1.0,5,7,-4.440213203430176,-1.4390838146209717
sub-06,5,reward,48.0,1.0,5,7,-3.802062749862671,-2.6903741359710693
sub-06,6,reward,53.0,1.0,5,7,-2.55507230758667,-0.8427853584289551
sub-06,7,reward,65.0,1.0,5,7,-3.210745096206665,-0.7530887126922607
sub-06,8,neutral,86.0,1.0,5,7,-3.197906494140625,-0.058665841817855835
sub-06,9,neutral,100.0,1.0,5,7,-1.1382722854614258,0.07648786902427673
sub-06,10,reward,120.0,1.0,5,7,-0.43486109375953674,-0.030673343688249588
sub-06,11,reward,134.0,1.0,5,7,-0.20371127128601074,-0.9430267214775085
sub-06,12,reward,145.0,1.0,5,7,-0.25039467215538025,0.17400924861431122
sub-06,13,reward,153.0,1.0,5,7,3.203829050064087,0.7332839965820312
sub-06,14,neutral,161.0,1.0,5,7,3.8268697261810303,0.018397316336631775
sub-06,15,reward,173.0,1.0,5,7,1.1404166221618652,0.07528707385063171
sub-06,16,neutral,179.0,1.0,5,7,2.560994863510132,-0.1306074559688568
sub-06,17,reward,186.0,1.0,5,7,1.2878700494766235,0.8726488947868347
sub-06,18,neutral,193.0,1.0,5,7,2.7557339668273926,2.274446487426758
sub-06,19,reward,199.0,1.0,5,7,-3.543267011642456,-2.729802370071411
sub-06,20,neutral,204.0,1.0,5,7,0.8246691226959229,0.4021771550178528
sub-06,21,neutral,216.0,1.0,5,7,1.4847228527069092,0.9199099540710449
sub-06,22,neutral,229.0,1.0,5,7,3.5600686073303223,1.0424246788024902
sub-06,23,reward,240.0,1.0,5,7,1.1917874813079834,-0.5348622798919678
sub-06,24,neutral,245.0,1.0,5,7,0.043150484561920166,-1.1148967742919922
sub-06,25,reward,251.0,1.0,5,7,-1.2632126808166504,0.3750894367694855
sub-06,26,reward,263.0,1.0,5,7,0.4939613938331604,-0.4818820357322693
sub-06,27,reward,276.0,1.0,5,7,1.6469829082489014,0.5514779090881348
sub-06,28,reward,281.0,1.0,5,7,1.685959815979004,0.7829521894454956
sub-06,29,reward,294.0,1.0,5,7,1.070472240447998,0.8988374471664429
sub-06,30,reward,306.0,1.0,5,7,0.8544321656227112,1.2778085470199585
