subject,trial_id,condition,onset_s,tr_s,tr_relative,time_from_cue_s,nacc_psc,vta_psc
sub-14,1,reward,8.0,1.0,-2,-2.0,0.04212510213255882,0.03608354926109314
sub-14,1,reward,8.0,1.0,-1,-1.0,0.011261740699410439,-0.7110429406166077
sub-14,1,reward,8.0,1.0,0,0.0,0.5946469902992249,0.6968721747398376
sub-14,1,reward,8.0,1.0,1,1.0,-0.18574132025241852,0.16143152117729187
sub-14,1,reward,8.0,1.0,2,2.0,0.14957603812217712,0.3058792054653168
sub-14,1,reward,8.0,1.0,3,3.0,0.3599209785461426,0.4777199327945709
sub-14,1,reward,8.0,1.0,4,4.0,-0.4753344655036926,0.1630934327840805
sub-14,1,reward,8.0,1.0,5,5.0,-0.3796967566013336,-0.7550387382507324
sub-14,1,reward,8.0,1.0,6,6.0,0.34429579973220825,0.33991172909736633
sub-14,1,reward,8.0,1.0,7,7.0,-0.2890029549598694,-0.6637232899665833
sub-14,1,reward,8.0,1.0,8,8.0,-0.34197378158569336,-0.7957188487052917
sub-14,1,reward,8.0,1.0,9,9.0,0.2528473734855652,0.11079619824886322
sub-14,1,reward,8.0,1.0,10,10.0,-0.26423487067222595,-0.2303883135318756
sub-14,1,reward,8.0,1.0,11,11.0,0.5805407762527466,-0.06685711443424225
sub-14,1,reward,8.0,1.0,12,12.0,1.1418282985687256,0.5266933441162109
sub-14,1,reward,8.0,1.0,13,13.0,0.1872989982366562,-0.007085379213094711
sub-14,2,reward,23.0,1.0,-2,-2.0,0.1872989982366562,-0.007085379213094711
sub-14,2,reward,23.0,1.0,-1,-1.0,-0.08210234344005585,0.6628396511077881
sub-14,2,reward,23.0,1.0,0,0.0,-0.22918222844600677,0.11079619824886322
sub-14,2,reward,23.0,1.0,1,1.0,0.7771665453910828,0.994895875453949
sub-14,2,reward,23.0,1.0,2,2.0,0.016592685133218765,-0.20880790054798126
sub-14,2,reward,23.0,1.0,3,3.0,0.44527414441108704,-0.12911765277385712
sub-14,2,reward,23.0,1.0,4,4.0,0.0920386090874672,0.6495606303215027
sub-14,2,reward,23.0,1.0,5,5.0,-0.3678835332393646,0.004539831075817347
sub-14,2,reward,23.0,1.0,6,6.0,0.19911222159862518,0.23116657137870789
sub-14,2,reward,23.0,1.0,7,7.0,0.22121967375278473,0.7076704502105713
sub-14,2,reward,23.0,1.0,8,8.0,0.35039106011390686,0.13237661123275757
sub-14,2,reward,23.0,1.0,9,9.0,-0.5271636247634888,-0.24367542564868927
sub-14,2,reward,23.0,1.0,10,10.0,-0.4745798110961914,0.019480738788843155
sub-14,2,reward,23.0,1.0,11,11.0,0.0623168982565403,0.631295919418335
sub-14,2,reward,23.0,1.0,12,12.0,0.4056451916694641,1.0671197175979614
sub-14,2,reward,23.0,1.0,13,13.0,1.3129216432571411,0.525039553642273
sub-14,3,neutral,35.0,1.0,-2,-2.0,-0.4745798110961914,0.019480738788843155
sub-14,3,neutral,35.0,1.0,-1,-1.0,0.0623168982565403,0.631295919418335
sub-14,3,neutral,35.0,1.0,0,0.0,0.4056451916694641,1.0671197175979614
sub-14,3,neutral,35.0,1.0,1,1.0,1.3129216432571411,0.525039553642273
sub-14,3,neutral,35.0,1.0,2,2.0,0.08784931898117065,-0.4810923635959625
sub-14,3,neutral,35.0,1.0,3,3.0,0.15262368321418762,-0.7467373609542847
sub-14,3,neutral,35.0,1.0,4,4.0,0.5043305158615112,0.006201733369380236
sub-14,3,neutral,35.0,1.0,5,5.0,-0.3854146897792816,-0.5690921545028687
sub-14,3,neutral,35.0,1.0,6,6.0,0.3454374372959137,0.1506413221359253
sub-14,3,neutral,35.0,1.0,7,7.0,-0.22918222844600677,0.4204369783401489
sub-14,3,neutral,35.0,1.0,8,8.0,0.43346092104911804,0.3855694532394409
sub-14,3,neutral,35.0,1.0,9,9.0,-1.1086429357528687,0.134038507938385
sub-14,3,neutral,35.0,1.0,10,10.0,-0.8289473056793213,0.43288910388946533
sub-14,3,neutral,35.0,1.0,11,11.0,0.7447745203971863,0.5698623061180115
sub-14,3,neutral,35.0,1.0,12,12.0,-0.29129594564437866,0.21207496523857117
sub-14,3,neutral,35.0,1.0,13,13.0,0.4353668987751007,-0.7998695969581604
sub-14,4,reward,41.0,1.0,-2,-2.0,0.5043305158615112,0.006201733369380236
sub-14,4,reward,41.0,1.0,-1,-1.0,-0.3854146897792816,-0.5690921545028687
sub-14,4,reward,41.0,1.0,0,0.0,0.3454374372959137,0.1506413221359253
sub-14,4,reward,41.0,1.0,1,1.0,-0.22918222844600677,0.4204369783401489
sub-14,4,reward,41.0,1.0,2,2.0,0.43346092104911804,0.3855694532394409
sub-14,4,reward,41.0,1.0,3,3.0,-1.1086429357528687,0.134038507938385
sub-14,4,reward,41.0,1.0,4,4.0,-0.8289473056793213,0.43288910388946533
sub-14,4,reward,41.0,1.0,5,5.0,0.7447745203971863,0.5698623061180115
sub-14,4,reward,41.0,1.0,6,6.0,-0.29129594564437866,0.21207496523857117
sub-14,4,reward,41.0,1.0,7,7.0,0.4353668987751007,-0.7998695969581604
sub-14,4,reward,41.0,1.0,8,8.0,-0.5740295052528381,-0.904464066028595
sub-14,4,reward,41.0,1.0,9,9.0,0.02840590290725231,0.2793130874633789
sub-14,4,reward,41.0,1.0,10,10.0,0.22121967375278473,0.5017891526222229
sub-14,4,reward,41.0,1.0,11,11.0,0.23112690448760986,1.045531153678894
sub-14,4,reward,41.0,1.0,12,12.0,0.4174584150314331,0.3531988561153412
sub-14,4,reward,41.0,1.0,13,13.0,0.07184681296348572,-0.22043311595916748
sub-14,5,reward,48.0,1.0,-2,-2.0,0.7447745203971863,0.5698623061180115
sub-14,5,reward,48.0,1.0,-1,-1.0,-0.29129594564437866,0.21207496523857117
sub-14,5,reward,48.0,1.0,0,0.0,0.4353668987751007,-0.7998695969581604
sub-14,5,reward,48.0,1.0,1,1.0,-0.5740295052528381,-0.904464066028595
sub-14,5,reward,48.0,1.0,2,2.0,0.02840590290725231,0.2793130874633789
sub-14,5,reward,48.0,1.0,3,3.0,0.22121967375278473,0.5017891526222229
sub-14,5,reward,48.0,1.0,4,4.0,0.23112690448760986,1.045531153678894
sub-14,5,reward,48.0,1.0,5,5.0,0.4174584150314331,0.3531988561153412
sub-14,5,reward,48.0,1.0,6,6.0,0.07184681296348572,-0.22043311595916748
sub-14,5,reward,48.0,1.0,7,7.0,-0.4802880883216858,0.06513846665620804
sub-14,5,reward,48.0,1.0,8,8.0,-1.1356942653656006,-0.2909950613975525
sub-14,5,reward,48.0,1.0,9,9.0,-0.6517683863639832,-0.03281649202108383
sub-14,5,reward,48.0,1.0,10,10.0,0.056221626698970795,0.019480738788843155
sub-14,5,reward,48.0,1.0,11,11.0,0.6944739818572998,0.7251001596450806
sub-14,5,reward,48.0,1.0,12,12.0,-0.03941609337925911,0.28180190920829773
sub-14,5,reward,48.0,1.0,13,13.0,-0.39493492245674133,-0.30842477083206177
sub-14,6,reward,53.0,1.0,-2,-2.0,0.22121967375278473,0.5017891526222229
sub-14,6,reward,53.0,1.0,-1,-1.0,0.23112690448760986,1.045531153678894
sub-14,6,reward,53.0,1.0,0,0.0,0.4174584150314331,0.3531988561153412
sub-14,6,reward,53.0,1.0,1,1.0,0.07184681296348572,-0.22043311595916748
sub-14,6,reward,53.0,1.0,2,2.0,-0.4802880883216858,0.06513846665620804
sub-14,6,reward,53.0,1.0,3,3.0,-1.1356942653656006,-0.2909950613975525
sub-14,6,reward,53.0,1.0,4,4.0,-0.6517683863639832,-0.03281649202108383
sub-14,6,reward,53.0,1.0,5,5.0,0.056221626698970795,0.019480738788843155
sub-14,6,reward,53.0,1.0,6,6.0,0.6944739818572998,0.7251001596450806
sub-14,6,reward,53.0,1.0,7,7.0,-0.03941609337925911,0.28180190920829773
sub-14,6,reward,53.0,1.0,8,8.0,-0.39493492245674133,-0.30842477083206177
sub-14,6,reward,53.0,1.0,9,9.0,0.41555243730545044,-0.11001794040203094
sub-14,6,reward,53.0,1.0,10,10.0,-0.17240911722183228,-0.061044514179229736
sub-14,6,reward,53.0,1.0,11,11.0,0.15377500653266907,0.5873001217842102
sub-14,6,reward,53.0,1.0,12,12.0,0.5146247744560242,0.45530450344085693
sub-14,6,reward,53.0,1.0,13,13.0,-0.5812664031982422,0.37062856554985046
sub-14,7,reward,65.0,1.0,-2,-2.0,-0.17240911722183228,-0.061044514179229736
sub-14,7,reward,65.0,1.0,-1,-1.0,0.15377500653266907,0.5873001217842102
sub-14,7,reward,65.0,1.0,0,0.0,0.5146247744560242,0.45530450344085693
sub-14,7,reward,65.0,1.0,1,1.0,-0.5812664031982422,0.37062856554985046
sub-14,7,reward,65.0,1.0,2,2.0,-0.04247340187430382,-0.44042035937309265
sub-14,7,reward,65.0,1.0,3,3.0,-0.9192637801170349,-0.41301923990249634
sub-14,7,reward,65.0,1.0,4,4.0,0.07489444315433502,-0.0593826100230217
